61.150.208.0   湖南省岳阳市 电信
61.150.220.0   湖南省郴州市 电信
61.150.229.0   湖南省 电信
61.150.232.0   湖南省永州市 电信
61.150.239.0   湖南省邵阳市 电信
61.150.244.0   湖南省怀化市 电信
61.150.251.0   湖南省娄底市 电信
61.151.0.0   上海市 电信
61.153.0.0   浙江省杭州市 浙江工业大学
61.153.0.64   浙江省杭州市 电信贵宾服务中心
61.153.0.128   浙江省杭州市 浙江水利水电专科学校
61.153.0.144   浙江省杭州市 电信
61.153.0.152   浙江省杭州市 旅游集散中心
61.153.0.160   浙江省杭州市 浙江农村信用合作社
61.153.0.164   浙江省杭州市 电信
61.153.0.168   浙江省杭州市 Motorola
61.153.0.176   浙江省杭州市 浙江工商局
61.153.0.192   浙江省杭州市 污水综合处理中心
61.153.0.200   浙江省杭州市 电信
61.153.0.208   浙江省杭州市 宇南服装有限公司杭州代表处
61.153.0.212   浙江省杭州市 远东五交化有限公司
61.153.0.216   浙江省杭州市 电信
61.153.0.220   浙江省杭州市 浙江工商管理局
61.153.0.224   浙江省杭州市 Motorola
61.153.0.228   浙江省杭州市 浙江盛大集团
61.153.0.232   浙江省杭州市 浙江大安信息技术有限公司
61.153.0.236   浙江省杭州市 电信
61.153.0.240   浙江省杭州市 电信贵宾服务中心
61.153.0.244   浙江省杭州市 电信
61.153.10.0   浙江省温州市 电信
61.153.16.0   浙江省宁波市 电信
61.153.24.0   浙江省温州市 电信
61.153.32.0   浙江省金华市 电信
61.153.36.0   浙江省舟山市 电信
61.153.40.0   浙江省台州市 电信
61.153.42.0   浙江省温州市 东方职业技术学院
61.153.42.16   浙江省温州市 电信
61.153.48.0   浙江省嘉兴市 电信
61.153.52.0   浙江省湖州市 湖州师范学院
61.153.52.128   浙江省湖州市 电信
61.153.53.64   浙江省湖州市 菱湖中学
61.153.53.128   浙江省湖州市 电信
61.153.53.240   浙江省湖州市 菱湖中学
61.153.53.244   浙江省湖州市 电信
61.153.53.252   浙江省湖州市 湖州师范学院
61.153.54.0   浙江省衢州市 电信
61.153.60.0   浙江省丽水市 电信
61.153.64.0   浙江省绍兴市 电信
61.153.80.0   浙江省宁波市 电信
61.153.92.0   浙江省杭州市 电信
61.153.96.0   浙江省金华市 电信
61.153.104.0   浙江省湖州市 电信
61.153.112.0   浙江省宁波市 电信
